;Referencia;Titular;NIF/CIF;Domicilio social;Localidad;Provincia;C. Postal;F. Concesion;F. Caducidad;Susceptible cesion;Susceptible mutualizacion;Obtenido por transferencia;dia_concesion;mes_concesion;año_concesion
128;ALAL-2200383;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2022-04-21;2027-12-31;False;False;False;2080;173;6
129;ALAL-2200384;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2022-04-21;2027-12-31;False;False;False;2080;173;6
130;ALAL-2200385;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2022-04-21;2027-12-31;False;False;False;2080;173;6
132;ALAL-2200386;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2022-04-21;2027-12-31;False;False;False;2080;173;6
133;ALAL-2200400;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2022-04-27;2027-12-31;False;False;False;2074;173;6
134;ALAL-2200401;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2022-04-29;2027-12-31;False;False;False;2072;173;6
135;ALAL-2200423;XFERA MOVILES, S.A.U.;A82528548;AVDA ALCOBENDAS, 38.;ALCOBENDAS;MADRID;28108;2022-05-20;2027-12-31;True;False;False;2051;171;6
136;ALAL-2200484;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2022-03-06;2027-12-31;False;False;False;2126;177;6
137;ALAL-2200485;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2022-03-06;2027-12-31;False;False;False;2126;177;6
138;ALAL-2200486;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2022-03-06;2027-12-31;False;False;False;2126;177;6
139;ALAL-2200521;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2022-06-13;2027-12-31;False;False;False;2027;169;6
140;ALAL-2200522;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2022-06-13;2027-12-31;False;False;False;2027;169;6
141;ALAL-2200534;VODAFONE ONO S.A.;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-06-30;2027-12-31;True;False;False;2010;168;6
143;ALZZ-2000113;TELPLAY SRL;B73264129;CL JUAN RAMON JIMENZ, 17. 0º;PUERTO LUMBRERAS;MURCIA;30890;2020-05-19;2025-12-31;True;False;False;2052;171;6
144;ALZZ-2000239;RETEVISION I, S.A.UNIP.;A62275680;CL JUAN ESPLANDIU, 11-13;MADRID;MADRID;28007;2020-06-25;2025-12-31;True;False;False;2015;168;6
145;BAZZ-1500134;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2015-05-13;2025-12-31;True;False;False;3885;324;11
146;CACA-0600235;MARQUES BIDCO SL;B88419569;CL PEDRO TEIXEIRA, 8. 6º;MADRID;MADRID;28020;2007-06-02;2022-12-31;True;False;True;5691;474;16
147;CACA-0700181;VODAFONE ESPAÑA, S.A.;A80907397;AV AMERICA, 115;MADRID;MADRID;28042;2007-09-10;2022-12-31;True;False;False;5591;466;16
